id,object_id,cog_x,cog_y,cog_z,weight,mat,assieme,end1,end2,nested,object_type,subasm,locazione,t,length,length2,incr1,incr2,idn,costr,block,type
534068,10f0ad49-5b4a-40d6-9cf8-184209d22d19,10063,4277,3757,740.2,AH36,D02,-,-,false,part,G01,SHELL,BENT UNREGULAR,0,-,0,0,7010,14146,BL02,THK8
534076,19c224fa-3a15-4b4f-ad3b-d637fe72465d,6764,3541,2457,3.2,AH36,B52,-,-,false,part,G01,LONG_3546,FLAT,0,-,0,0,106,14146,BL02,THK10
534086,3193f2b5-dfc0-40cc-99bc-068ae954c131,6002,-1634,3567,146,AH36,B16,-,-,false,part,A02,FR_6,FLAT,0,-,0,0,302,14146,BL02,THK5
534095,992a32e3-cc06-407c-9cc1-bd78e7abe1fd,6047,3641,3525,5.6,AH36,B16,BF30+30,BI02,false,stiffner,A01,FR_6,FLAT,1110,-,0,0,576,14146,BL02,FB80x8
534105,d5cfef52-0095-45fe-99b7-4f3ce7262f29,6002,1784,3589,93.5,AH36,B16,-,-,false,part,A02,FR_6,FLAT,0,-,0,0,70,14146,BL02,THK5
534115,174e1ee6-0a22-405e-9e62-9901a0b753da,7004,2390,1955,14.1,AH36,B20,-,-,false,part,G01,FR_7,FLAT,0,-,0,0,93,14146,BL02,THK7
534125,a52337f8-928e-4bce-9964-44c310d67077,10960,1076,4436,3.8,AH36,E05,BF10,BF10,false,stiffner,G01,H.4550,FLAT,1007,-,0,0,739,14146,BL02,FB60x8
534134,93e53524-2115-46c9-8db0-8f41b2275970,10960,-1796,4436,3.8,AH36,E05,BF10,BF10,false,stiffner,G01,H.4550,FLAT,1007,-,0,0,739,14146,BL02,FB60x8
534142,9f4fa884-386b-44ab-b48c-dc8ea296a65c,10416,0,4569,60.6,AH36,B37,-,-,false,part,G01,FR_10.5-80,FLAT,0,-,0,0,192,14146,BL02,THK7
534152,9add9be1-335a-4445-83b2-14d703932dde,13497,2590,830,0.2,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,331,14146,BL02,THK7
534161,6ee3c8b6-b2c2-4d97-9f37-3ebc0a429ab8,5997,3084,4659,0.2,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,327,14146,BL02,THK7
534170,0a348b66-1fea-47ea-bf95-4fa765baa608,5996,4220,4213,0.2,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,325,14146,BL02,THK7
534180,74400399-02c8-4838-9622-4f482e6e76f0,13006,-3677,1676,33.7,AH36,B49,-,-,false,part,G01,FR_13,FLAT,0,-,0,0,248,14146,BL02,THK12
534191,69ed614e-85ce-412c-a4c5-60794ecba8cf,12837,4062,1890,248.6,AH36,D01,-,-,false,part,G01,SHELL,BENT UNREGULAR,0,-,0,0,7012,14146,BL02,THK15
534199,16393212-80d5-422b-ba73-fd8b5c44c520,10165,-2185,4639,0.2,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,315,14146,BL02,THK6
534209,42d8c21e-51c5-4d06-939d-4b8d940138ac,7975,2855,2475,0.2,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,153,14146,BL02,THK10
534219,07244d43-d97c-4825-a211-b042a68b5123,10754,-4245,2948,1,AH36,D01,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,878,14146,BL02,FB60x5
534229,03582415-25e0-46f2-8fcb-07cb5721ee1b,13254,-4263,3648,1,AH36,D02,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,873,14146,BL02,FB60x5
534237,28d54a4d-0e0f-4374-a91b-d8d74d874ace,8254,4232,3718,1,AH36,D02,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,863,14146,BL02,FB60x5
534246,c24f959e-5bbf-45f2-bc4a-d086ccf48e1a,13254,4259,2948,1,AH36,D01,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,883,14146,BL02,FB60x5
534256,d41f3509-d807-4bc1-9cbd-7284f203f9ab,12254,4258,3648,1,AH36,D02,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,871,14146,BL02,FB60x5
534266,5d62d0b9-e78d-4847-a35f-ff800d9a6daa,6047,-3641,2312,1.6,AH36,B17,BI02,BI02,false,stiffner,G01,FR_6,FLAT,326,-,0,0,858,14146,BL02,FB80x8
